CondA_SRR3105699	CondA_SRR3105698	CondA_SRR3105697	CondB_SRR3099587	CondB_SRR3099586	CondB_SRR3099585
ostta01g01550	1352	2669	1196	2978	2745	3505
ostta01g01560	5952	15627	5016	10084	9537	27698
ostta01g01570	125	310	107	183	152	95
ostta01g01580	69	118	73	125	125	30
ostta01g01590	199	378	183	195	130	211
ostta01g01600	361	896	523	431	335	320
ostta01g01610	268	598	307	110	126	49
ostta01g01620	0	0	0	0	0	0
ostta01g01630	10	60	30	37	29	22
ostta01g01640	84	149	118	173	139	80
ostta01g01650	62	154	67	89	62	99
ostta01g01660	52	111	40	82	44	0
ostta01g01670	158	280	256	355	283	205
ostta01g01680	48	128	51	115	54	50
ostta01g01690	93	208	95	217	158	132
ostta01g01700	265	612	311	479	567	322
ostta01g01710	228	578	233	310	304	176
ostta01g01720	723	1645	632	785	679	698
ostta01g01730	1	0	0	0	0	0
ostta01g01740	15	25	5	23	14	2
ostta01g01750	284	554	275	719	549	426
ostta01g01760	293	383	360	494	704	649
ostta01g01770	67	147	93	155	155	141
ostta01g01780	207	578	252	275	293	145
ostta01g01790	126	224	87	138	77	17
ostta01g01800	147	234	217	288	145	179
ostta01g01810	121	330	154	170	96	20
ostta01g01820	128	277	136	164	128	306
ostta01g01830	2984	7250	3495	2671	2658	1989
ostta01g01850	109	267	151	185	148	155
ostta01g01855	53	124	64	74	68	79
ostta01g01860	108	182	64	119	113	44
ostta01g01870	22	39	33	46	38	20
ostta01g01880	104	213	101	243	185	101
ostta01g01890	346	812	297	323	360	249
ostta01g01900	96	205	97	347	304	233
ostta01g01910	2	2	14	6	5	13
ostta01g01920	346	881	383	658	711	855
ostta01g01930	58	111	39	73	42	83
ostta01g01940	184	399	246	348	248	162
ostta01g01950	48	105	83	104	108	76
ostta01g01960	222	598	241	384	416	166
ostta01g01970	703	1741	712	1318	850	76
ostta01g01980	422	833	477	524	431	1346
ostta01g01990	98	187	143	176	148	38
ostta01g02000	65	156	84	66	84	74
ostta01g02010	107	172	102	126	90	41
ostta01g02020	268	638	241	344	289	341
ostta01g02030	17	31	34	17	14	7
ostta01g02040	71	144	77	29	31	13
ostta01g02050	63	120	68	73	81	98
ostta01g02060	122	286	158	245	136	118
ostta01g02070	63	134	88	50	60	28
ostta01g02080	28	87	57	32	28	44
ostta01g02090	8	30	10	9	19	16
ostta01g02100	60	155	68	116	95	44
ostta01g02110	108	297	110	224	211	202
ostta01g02120	137	274	142	179	191	167
ostta01g02130	345	758	437	931	940	230
ostta01g02140	40	86	52	49	25	84
ostta01g02150	34	41	21	13	13	13
ostta01g02160	5	4	3	0	0	1
ostta01g02170	233	453	321	397	349	202
ostta01g02180	157	379	188	207	173	180
ostta01g02190	41	108	55	62	55	52
ostta01g02200	248	521	277	390	342	280
ostta01g02210	1768	3775	1302	2651	1960	987
ostta01g02220	173	320	231	180	152	661
ostta01g02230	596	1409	597	988	941	827
ostta01g02240	127	279	186	182	218	159
ostta01g02250	217	512	304	353	282	53
ostta01g02260	25	45	17	34	33	29
ostta01g02270	187	349	204	272	303	261
ostta01g02280	38	64	37	57	40	40
ostta01g02290	199	410	144	270	175	153
ostta01g02300	97	154	84	116	95	69
ostta01g02310	185	369	144	312	278	193
ostta01g02320	59	84	69	108	81	65
ostta01g02330	12	44	37	42	23	25
ostta01g02340	457	1003	427	499	407	489
ostta01g02350	848	2275	884	898	817	790
ostta01g02360	343	711	355	456	268	257
ostta01g02370	228	442	179	302	233	169
ostta01g02380	39	66	41	47	52	58
ostta01g02390	220	427	213	275	217	1357
ostta01g02400	587	1023	731	729	596	412
ostta01g02410	41	95	47	53	44	59
ostta01g02420	498	1120	510	1104	925	1040
ostta01g02430	238	662	181	420	424	390
ostta01g02440	1393	2946	1425	1582	1452	1250
ostta01g02450	238	452	290	422	364	89
ostta01g02460	157	273	153	131	110	253
ostta01g02470	181	359	285	343	319	273
ostta01g02480	1108	2281	1251	1348	1291	1197
ostta01g02490	1424	3068	1330	1854	1665	1388
ostta01g02500	18	48	17	35	25	9
ostta01g02510	458	1080	498	600	558	604
ostta01g02520	574	1084	571	743	602	442
ostta01g02530	132	250	119	131	137	213
ostta01g02540	177	330	271	381	252	259
ostta01g02560	311	839	339	337	281	218
ostta01g02570	38	90	52	43	43	1
ostta01g02580	514	1158	439	665	692	425
ostta01g02590	225	480	179	368	321	256
ostta01g02600	364	770	393	721	732	657
ostta01g02610	210	364	199	256	217	127
ostta01g02615	18	31	26	34	19	10
ostta01g02617	75	155	116	127	119	24
ostta01g02620	57	84	88	66	62	25
ostta01g02630	160	336	153	321	263	186
ostta01g02640	206	391	176	442	313	354
ostta01g02650	244	516	286	192	171	164
ostta01g02660	42	149	72	194	107	21
ostta01g02670	1260	4543	1331	1314	3379	4175
ostta01g02680	88	222	83	93	117	46
ostta01g02690	295	515	504	468	484	376
ostta01g02700	157	280	211	234	168	121
ostta01g02710	56	97	66	62	45	6
