CondA_SRR3105699	CondA_SRR3105698	CondA_SRR3105697	CondB_SRR3099587	CondB_SRR3099586	CondB_SRR3099585
ostta03g03710	456	806	957	163	221	93
ostta03g03720	101	161	124	111	79	239
ostta03g03730	2722	7928	2372	7423	4922	2953
ostta03g03740	39	43	29	37	29	16
ostta03g03750	158	341	150	142	166	176
ostta03g03760	176	284	91	210	211	139
ostta03g03770	40	83	43	103	79	5
ostta03g03780	771	1797	600	1322	1085	391
ostta03g03790	98	121	106	158	143	114
ostta03g03800	80	161	79	94	47	42
ostta03g03810	27	56	11	31	41	29
ostta03g03820	48	91	34	50	69	51
ostta03g03825	162	335	238	357	213	195
ostta03g03830	274	533	310	444	376	520
ostta03g03840	888	2001	879	1332	1164	1041
ostta03g03850	64	124	71	141	106	72
ostta03g03860	565	1356	560	575	365	143
ostta03g03870	425	935	395	529	447	142
ostta03g03880	139	222	132	285	179	238
ostta03g03890	68	188	66	110	84	41
ostta03g03900	350	656	293	375	384	648
ostta03g03910	214	436	220	594	568	461
ostta03g03920	118	189	127	394	301	372
ostta03g03930	220	419	280	304	221	230
ostta03g03940	37	69	40	23	26	9
ostta03g03950	31	75	38	52	23	2
ostta03g03960	16	20	18	13	9	2
ostta03g03970	148	433	180	225	225	4
ostta03g03980	450	1047	525	450	525	105
ostta03g03990	2	1	0	0	0	0
ostta03g04000	0	0	0	0	0	0
ostta03g04010	141	294	130	193	122	242
ostta03g04020	107	259	131	142	127	59
ostta03g04025	62	104	46	75	61	54
ostta03g04030	268	589	293	223	281	190
ostta03g04040	169	360	158	205	188	92
ostta03g04050	3811	10263	3638	4689	4348	4018
ostta03g04060	55	102	66	62	64	55
ostta03g04070	74	117	58	33	30	252
ostta03g04080	14	45	26	14	4	122
ostta03g04090	68	142	56	150	120	96
ostta03g04100	6	5	1	2	6	6
ostta03g04110	2	6	2	1	3	5
ostta03g04120	27	44	30	32	23	34
ostta03g04130	119	219	130	176	135	155
ostta03g04140	1222	3173	987	1391	1180	871
ostta03g04150	147	329	209	291	276	95
ostta03g04160	388	874	558	614	618	288
ostta03g04170	103	220	106	146	107	69
ostta03g04180	532	1141	620	709	497	433
ostta03g04190	30	37	20	49	28	23
ostta03g04200	80	144	93	175	115	71
ostta03g04210	107	215	127	207	187	116
ostta03g04220	168	377	157	283	217	167
ostta03g04230	322	814	334	503	433	291
ostta03g04240	1208	2927	1301	2020	1619	1457
ostta03g04250	287	690	259	426	333	295
ostta03g04260	162	277	286	323	356	123
ostta03g04270	2660	5974	2858	4807	5000	4594
ostta03g04280	417	681	370	519	476	420
ostta03g04290	952	1776	1330	1336	703	537
ostta03g04300	195	298	232	233	152	7
ostta03g04310	173	345	107	222	238	165
ostta03g04320	172	390	257	312	229	195
ostta03g04330	1293	2618	1909	1814	1589	372
ostta03g04335	12	41	24	29	24	18
ostta03g04340	93	185	91	78	47	116
ostta03g04345	97	194	136	164	154	112
ostta03g04350	91	158	98	130	107	99
ostta03g04360	2	9	4	6	7	5
ostta03g04370	57	156	98	147	102	3
ostta03g04380	381	797	428	386	269	261
ostta03g04390	5	6	0	5	2	9
ostta03g04400	182	321	198	271	267	204
ostta03g04410	192	344	230	309	230	199
ostta03g04420	111	272	99	180	153	75
ostta03g04430	237	511	281	181	183	40
ostta03g04440	367	609	450	645	435	508
ostta03g04450	266	547	242	462	303	329
ostta03g04460	75	164	124	155	137	92
ostta03g04470	1314	4040	1324	2189	1973	1660
ostta03g04500	11654	26121	8694	41471	27723	20776
ostta03g04510	1226	2157	1522	1304	1022	664
ostta03g04520	309	515	391	269	200	288
ostta03g04530	97	239	107	190	133	119
ostta03g04540	329	651	517	871	370	1174
ostta03g04550	1452	2913	1750	3688	3005	6795
ostta03g04560	258	541	302	261	360	499
ostta03g04570	0	0	0	0	0	0
ostta03g04590	227	465	213	316	286	207
ostta03g04610	81	159	97	141	101	37
ostta03g04620	461	1003	415	737	676	333
ostta03g04630	22	48	24	27	21	2
ostta03g04635	170	305	207	272	244	202
ostta03g04640	39	75	30	37	38	13
ostta03g04650	390	910	467	799	605	632
ostta03g04660	214	338	188	325	214	142
ostta03g04670	1235	3261	1003	826	473	1127
ostta03g04680	312	667	368	659	676	498
ostta03g04690	430	837	586	1253	1212	1060
ostta03g04700	66	199	29	114	67	2
ostta03g04710	196	381	266	307	237	176
ostta03g04720	128	264	110	185	155	115
ostta03g04730	136	424	108	191	165	84
ostta03g04740	56	104	51	70	81	34
ostta03g04750	371	682	417	565	429	330
ostta03g04760	86	178	80	168	131	111
ostta03g04770	0	3	0	0	0	1
ostta03g04780	3	2	1	0	0	0
ostta03g04790	601	1552	518	578	500	423
ostta03g04800	181	373	139	242	241	183
ostta03g04810	58	88	74	71	36	42
ostta03g04820	1401	2853	1319	1791	1977	1286
ostta03g04830	211	451	268	304	341	20
ostta03g04840	41	64	48	26	17	2
ostta03g04850	534	1320	532	1226	1105	1523
ostta03g04860	149	334	185	277	349	400
ostta03g04870	73	137	99	117	150	195
ostta03g04880	9	14	7	21	28	17
ostta03g04890	46	70	36	63	42	24
ostta03g04900	247	607	239	229	219	338
ostta03g04920	1128	2756	1363	2330	1622	4243
ostta03g04930	63	104	65	90	88	84
ostta03g04940	390	814	369	449	443	330
ostta03g04950	209	490	192	224	191	32
ostta03g04960	515	1264	541	3220	2396	1622
ostta03g04970	136	280	134	80	154	70
ostta03g04980	531	1243	439	516	547	536
ostta03g05000	56	124	64	74	45	18
ostta03g05010	29	44	19	17	18	17
ostta03g05020	221	369	216	307	226	205
ostta03g05030	555	1224	463	769	708	666
ostta03g05040	135	300	121	215	139	15
ostta03g05050	99	220	97	143	154	132
ostta03g05060	13	16	10	17	16	32
ostta03g05070	1	0	1	3	1	0
ostta03g05080	32	91	29	59	23	10
ostta03g05090	597	2200	643	1041	1087	68
ostta03g05100	70	110	67	101	88	113
ostta03g05110	134	292	223	297	196	107
ostta03g05120	420	1069	368	682	574	389
ostta03g05130	337	773	328	541	590	428
ostta03g05140	45	115	28	53	63	45
ostta03g05145	215	613	179	260	250	104
ostta03g05150	0	0	0	0	0	0
ostta03g05160	0	0	0	0	0	0
ostta03g05170	485	1063	489	588	687	685
ostta03g05180	48	146	36	57	58	112
ostta03g05190	50	85	27	50	29	140
ostta03g05200	20	17	11	15	13	8
ostta03g05205	128	313	103	257	158	79
ostta03g05210	81	223	61	50	108	40
ostta03g05220	17	48	18	13	39	19
ostta03g05230	17	91	48	54	67	20
ostta03g05240	203	510	197	372	348	203
ostta03g05250	120	236	107	187	168	103
ostta03g05260	119	241	131	203	240	195
ostta03g05270	36	64	29	41	40	86
ostta03g05280	138	237	137	275	183	203
ostta03g05290	285	676	270	418	312	238
ostta03g05300	1038	2242	1208	1614	1505	1055
ostta03g05310	36	118	72	115	87	33
ostta03g05320	81	141	92	148	131	41
ostta03g05330	0	0	0	0	0	0
ostta03g05340	206	540	294	516	434	398
ostta03g05350	0	0	4	2	0	2
ostta03g05360	62	148	68	62	158	126
ostta03g05370	72	157	59	16	22	4
ostta03g05380	62	93	71	70	106	68
ostta03g05390	512	1096	508	623	589	657
ostta03g05400	30	34	29	45	33	35
ostta03g05410	1011	2001	1195	1214	810	639
ostta03g05420	579	1522	613	794	861	1487
ostta03g05430	170	415	169	333	245	149
ostta03g05435	28	43	24	45	38	16
ostta03g05440	21	24	40	24	23	14
ostta03g05450	893	2207	945	768	666	362
ostta03g05460	77	152	60	64	42	45
ostta03g05470	55	151	81	100	93	83
ostta03g05480	54	85	48	38	19	5
ostta03g05490	74	192	66	130	90	59
ostta03g05500	175	335	149	62	59	2974
ostta03g05510	24	31	24	20	11	203
ostta03g05520	1	5	3	0	1	0
ostta03g05530	125	264	206	410	307	137
ostta03g05540	88	205	126	82	77	80
ostta03g05550	177	329	167	269	228	198
ostta03g05560	246	690	240	430	536	285
ostta03g05570	140	241	154	214	193	201
ostta03g05580	29	73	45	70	38	42
ostta03g05590	68	167	86	105	97	96
ostta03g05600	26	76	20	60	56	42
ostta03g05610	36	70	39	59	75	40
ostta03g05620	51	139	59	74	46	12
ostta03g05630	169	358	185	229	147	51
ostta03g05640	392	982	445	588	408	433
ostta03g05650	95	193	131	277	203	130
ostta03g05660	7	26	9	14	11	10
ostta03g05670	89	179	76	134	86	68
ostta03g05675	100	283	87	160	111	87
ostta03g05680	160	332	134	192	115	123
ostta03g05690	37	87	56	82	46	41
ostta03g05700	41	82	46	56	68	8
ostta03g05710	165	517	146	183	180	150
ostta03g05715	13	29	41	31	29	20
ostta03g05720	183	399	159	215	196	201
ostta03g05730	179	439	196	269	244	211
ostta03g05740	139	333	175	228	191	88
ostta03g05750	91	158	107	155	126	96
ostta03g05760	246	390	293	174	151	229
ostta03g05770	1	9	2	3	0	0
ostta03g05780	15	21	22	20	7	2
ostta03g05790	353	705	633	654	650	584
ostta03g05800	102	176	102	90	101	46
ostta03g05810	293	621	299	260	234	234
ostta03g05820	78	128	109	109	136	96
ostta03g05830	111	228	146	147	102	81
ostta03g05840	51	86	64	113	100	95
ostta03g05850	74	220	94	105	102	113
ostta03g05860	30	86	43	39	31	108
ostta03g05870	25	40	32	56	53	30
ostta03g05880	134	248	126	185	150	116
ostta03g05885	129	243	138	180	103	47
ostta03g05890	174	393	235	417	365	68
ostta03g05900	73	104	85	129	84	38
ostta03g05910	2126	4912	2700	3873	3387	2041
ostta03g05920	391	808	503	893	827	545
ostta03g05930	83	158	101	33	43	59
ostta03g05940	50	116	89	54	53	206
ostta03g05950	41	69	52	77	62	56
ostta03g05960	113	218	163	184	159	113
ostta03g05970	110	184	194	210	195	103
ostta03g05980	6	7	5	5	5	0
ostta03g05990	3	8	4	2	4	1
ostta03g06000	27	57	39	15	33	5
ostta03g06010	5	18	9	2	2	3
ostta03g06020	10	34	10	19	8	4
ostta03g06030	0	0	0	0	0	0
ostta04g00010	4	8	1	1	1	0
ostta04g00015	105	234	119	174	116	41
ostta04g00020	79	185	94	87	96	62
ostta04g00030	163	337	241	303	237	249
ostta04g00040	24	66	80	47	65	32
ostta04g00050	68	187	85	131	72	48
ostta04g00060	166	419	171	333	304	48
ostta04g00070	76	175	87	163	136	191
ostta04g00080	60	159	86	136	101	58
ostta04g00090	486	1263	446	195	147	454
ostta04g00100	129	256	130	256	250	188
ostta04g00110	184	350	351	281	202	151
ostta04g00120	168	323	155	284	254	123
ostta04g00125	180	351	204	391	338	337
ostta04g00130	1023	2170	1307	2057	1555	2676
ostta04g00150	42	110	59	76	75	23
ostta04g00160	31	65	24	53	41	7
ostta04g00170	1178	2774	1263	1658	1602	1739
ostta04g00180	106	192	138	155	96	102
ostta04g00190	420	1000	334	509	367	75
ostta04g00200	148	358	221	245	166	98
ostta04g00220	317	779	381	361	265	259
ostta04g00230	198	529	294	475	445	443
ostta04g00240	158	308	208	148	135	103
ostta04g00250	78	131	75	113	74	60
ostta04g00260	161	298	195	243	211	244
ostta04g00270	49	108	79	108	83	70
ostta04g00280	54	93	78	114	98	98
ostta04g00290	158	193	272	202	183	108
ostta04g00300	195	448	218	250	160	408
ostta04g00310	15	25	14	28	11	4
ostta04g00320	213	459	234	280	157	180
ostta04g00330	455	1112	474	875	712	782
ostta04g00340	9	20	14	23	4	0
ostta04g00350	32	75	37	16	17	23
ostta04g00360	132	221	172	341	313	521
ostta04g00365	93	154	106	209	162	213
ostta04g00370	1860	4078	2460	3429	3470	5946
ostta04g00380	429	907	467	671	678	584
ostta04g00390	266	474	219	347	249	322
ostta04g00400	546	1442	473	638	552	384
ostta04g00410	27	84	46	77	40	89
ostta04g00420	610	942	694	975	569	599
ostta04g00430	1485	3562	1854	3693	3023	720
ostta04g00440	178	299	246	151	142	1472
ostta04g00450	350	688	376	364	519	211
ostta04g00460	297	781	198	591	380	60
ostta04g00470	451	1022	479	815	718	570
ostta04g00480	251	600	325	303	342	240
ostta04g00490	80	192	111	190	182	209
ostta04g00500	654	1795	492	939	1157	1366
ostta04g00510	710	1627	685	678	565	187
ostta04g00520	142	257	228	223	293	230
ostta04g00530	613	1471	663	821	853	645
ostta04g00540	52	107	60	73	59	69
ostta04g00550	89	197	89	173	117	93
ostta04g00560	1038	2712	742	1916	1489	134
ostta04g00570	295	774	281	239	171	28
ostta04g00580	570	1442	444	872	755	98
ostta04g00590	56	115	93	86	90	77
ostta04g00600	195	333	283	285	186	98
ostta04g00610	290	675	363	436	404	238
ostta04g00620	4	5	6	0	6	1
ostta04g00630	152	208	137	175	137	105
ostta04g00640	88	157	113	54	31	92
ostta04g00650	88	207	152	141	130	139
ostta04g00660	45	112	79	54	78	73
ostta04g00670	34	51	37	79	42	39
ostta04g00680	321	768	341	561	603	280
ostta04g00690	2	11	3	3	6	2
ostta04g00700	321	799	340	475	452	281
ostta04g00710	39	63	75	48	64	16
ostta04g00720	108	327	118	168	183	64
ostta04g00730	399	855	390	767	802	432
ostta04g00740	328	806	437	290	278	202
ostta04g00750	221	618	225	354	280	314
ostta04g00760	1135	4148	934	1673	2101	2720
ostta04g00770	230	520	228	92	55	25
ostta04g00780	122	277	124	168	138	63
ostta04g00790	34	55	19	49	52	32
ostta04g00800	1083	3530	946	1163	1286	1231
ostta04g00810	95	244	126	173	147	74
ostta04g00815	68	204	67	132	108	64
ostta04g00820	162	502	173	170	216	84
ostta04g00830	130	265	105	186	148	70
ostta04g00840	211	522	219	302	306	303
ostta04g00850	141	358	106	189	192	172
ostta04g00860	64	151	61	62	89	121
ostta04g00870	464	1122	447	483	519	501
ostta04g00880	712	1693	754	591	582	471
ostta04g00890	17	28	34	46	14	15
ostta04g00900	363	846	366	406	262	174
ostta04g00910	329	976	268	378	317	272
ostta04g00920	86	156	96	108	103	26
ostta04g00930	206	412	290	246	201	202
ostta04g00940	33	47	23	27	45	24
ostta04g00950	114	186	133	180	167	156
ostta04g00960	766	2064	664	863	661	30
ostta04g00970	277	752	332	228	115	14
ostta04g00990	426	638	530	114	106	31
ostta04g01000	96	247	161	185	170	68
ostta04g01010	306	564	359	433	312	358
ostta04g01020	0	4	4	3	0	0
ostta04g01030	406	960	438	677	545	290
ostta04g01040	438	839	638	391	363	125
ostta04g01050	335	826	272	376	435	163
ostta04g01060	16	33	13	18	20	5
ostta04g01070	107	197	202	166	143	80
ostta04g01080	93	174	119	162	122	48
ostta04g01090	27	53	45	49	24	5
ostta04g01100	150	292	159	237	152	76
ostta04g01110	9	32	17	17	11	18
ostta04g01120	525	1331	436	479	359	33
ostta04g01130	348	669	364	541	378	303
ostta04g01140	177	457	223	291	222	256
ostta04g01150	682	1249	809	942	1012	1232
ostta04g01160	642	1828	650	532	676	426
ostta04g01170	24	70	48	45	56	18
ostta04g01180	303	868	368	399	425	358
ostta04g01190	93	218	73	138	117	158
ostta04g01200	36	51	30	40	30	13
ostta04g01210	721	1483	915	1569	1616	1429
ostta04g01220	498	802	676	690	577	361
ostta04g01230	155	310	174	233	188	134
ostta04g01240	97	226	109	88	42	583
ostta04g01250	422	1144	345	228	419	409
ostta04g01260	208	500	130	383	301	58
ostta04g01270	959	2176	1216	1493	737	568
ostta04g01280	236	455	213	260	259	259
ostta04g01290	52	132	66	86	117	50
ostta04g01300	2220	7398	2163	3976	3677	3300
ostta04g01310	1182	2242	1510	1637	1333	910
ostta04g01320	110	247	151	206	156	116
ostta04g01330	121	205	171	169	189	148
ostta04g01340	206	368	307	239	142	74
ostta04g01350	153	321	203	365	261	110
ostta04g01360	59	129	60	124	98	60
ostta04g01380	25	34	47	13	12	111
ostta04g01390	377	832	460	421	316	278
ostta04g01400	1243	2141	1819	2283	2321	1399
ostta04g01410	33	51	51	65	50	1
ostta04g01420	150	355	241	409	274	26
ostta04g01440	145	230	269	336	274	136
ostta04g01450	113	218	114	122	135	138
ostta04g01460	309	596	321	464	492	628
ostta04g01470	52	113	79	117	56	44
ostta04g01480	555	1309	624	748	602	352
ostta04g01490	2100	3492	2934	3741	3095	2006
ostta04g01500	758	1481	676	713	518	676
ostta04g01510	105	246	185	218	248	345
ostta04g01520	58	154	81	217	102	6
ostta04g01530	409	775	384	486	397	268
ostta04g01540	64	169	53	108	87	24
ostta04g01550	117	326	155	233	192	180
ostta04g01560	163	332	153	268	286	195
ostta04g01570	1616	3698	1227	2009	1569	1363
ostta04g01580	40	80	71	46	40	40
ostta04g01590	16	26	15	13	30	21
ostta04g01600	92	185	115	125	141	91
ostta04g01610	172	289	172	227	157	87
ostta04g01620	223	290	239	141	135	522
ostta04g01630	73	174	106	115	35	321
ostta04g01640	134	255	176	115	105	908
ostta04g01650	582	1605	617	867	825	573
ostta04g01660	435	949	477	435	433	144
ostta04g01670	103	206	115	129	96	76
ostta04g01680	93	216	79	129	118	15
ostta04g01690	39	53	68	72	80	12
ostta04g01700	19	25	25	28	25	9
ostta04g01710	257	563	281	244	174	120
ostta04g01720	115	206	176	139	106	32
ostta04g01730	588	1176	570	809	775	848
ostta04g01740	42	74	39	48	59	45
ostta04g01745	35	58	39	60	32	31
ostta04g01750	101	218	89	191	183	190
ostta04g01760	565	1164	752	737	409	270
ostta04g01770	139	367	131	179	137	24
ostta04g01780	27	65	32	44	48	55
ostta04g01790	1522	3303	1553	2904	1877	4425
ostta04g01800	50	90	45	76	43	52
ostta04g01810	320	581	375	561	459	481
ostta04g01820	153	321	181	84	51	280
ostta04g01830	715	1785	564	912	780	878
ostta04g01840	448	1216	415	637	610	354
ostta04g01845	75	161	88	60	51	80
ostta04g01850	347	1074	306	410	461	21
ostta04g01860	1166	2321	1799	1555	920	755
ostta04g01870	27	96	46	33	68	6
ostta04g01880	599	897	785	555	639	533
ostta04g01890	0	0	0	0	0	0
ostta04g01900	152	429	153	184	188	31
ostta04g01910	123	271	133	319	209	10
ostta04g01920	486	1205	480	414	535	596
ostta04g01930	170	340	216	316	225	191
ostta04g01940	66	174	62	124	116	22
ostta04g01950	0	0	0	2	0	0
ostta04g01960	72	184	114	120	89	87
ostta04g01970	39	74	47	47	50	61
ostta04g01980	1334	3075	1457	2056	2428	2347
ostta04g01990	136	332	143	227	208	180
ostta04g01995	45	157	72	61	70	57
ostta04g02000	132	326	106	221	272	281
ostta04g02010	226	463	278	144	79	147
ostta04g02020	27	27	21	28	18	4
ostta04g02030	26	78	45	12	8	3
ostta04g02040	422	1147	347	484	541	669
ostta04g02050	146	410	135	176	280	272
ostta04g02060	52	63	44	42	51	8
ostta04g02070	15	31	13	37	46	26
ostta04g02080	366	791	403	421	345	595
ostta04g02090	2578	7312	2409	2258	2865	13039
ostta04g02100	308	702	229	262	216	17
ostta04g02105	73	130	63	100	60	12
ostta04g02110	802	1888	604	1048	748	48
ostta04g02120	11	16	12	5	9	1
ostta04g02130	1589	3916	1580	2689	2302	2496
ostta04g02140	463	1272	427	550	653	619
ostta04g02150	500	1152	364	614	526	564
ostta04g02160	3	8	2	4	1	5
ostta04g02170	9	7	2	8	2	0
ostta04g02180	238	415	359	384	300	165
ostta04g02190	19	40	39	44	31	18
ostta04g02200	6402	27647	5253	11356	12873	10735
ostta04g02210	84	185	83	86	107	24
ostta04g02220	36	62	48	41	68	38
ostta04g02230	169	298	169	340	344	347
ostta04g02240	431	1183	597	969	647	562
ostta04g02250	222	532	322	519	384	176
ostta04g02260	44	65	51	45	50	15
ostta04g02270	436	1157	450	592	562	297
ostta04g02280	71	125	65	105	49	21
ostta04g02290	300	542	278	369	365	350
ostta04g02300	225	405	203	400	435	316
ostta04g02310	206	536	210	362	315	287
ostta04g02320	90	154	122	120	121	296
ostta04g02330	77	182	114	151	125	171
ostta04g02340	115	249	142	271	265	248
ostta04g02350	646	1239	730	1370	1455	1554
ostta04g02360	47	121	63	118	57	93
ostta04g02370	201	458	227	310	368	251
ostta04g02380	469	781	638	1042	668	362
ostta04g02390	1290	3588	1123	1697	1665	2297
ostta04g02400	210	519	251	439	472	341
ostta04g02410	61	134	87	113	63	72
ostta04g02420	342	772	279	468	417	340
ostta04g02430	38	84	69	45	42	53
ostta04g02440	8	36	13	13	6	14
ostta04g02450	151	381	190	298	213	128
ostta04g02460	83	149	86	177	135	109
ostta04g02480	65	168	84	89	85	40
ostta04g02490	972	2524	918	2127	1969	2598
ostta04g02500	286	541	456	463	284	300
ostta04g02510	6217	13279	6018	7810	7106	19448
ostta04g02520	131	254	145	286	236	232
ostta04g02530	312	696	259	518	413	319
ostta04g02540	212	462	216	367	396	409
ostta04g02550	42	55	47	49	22	58
ostta04g02560	23	32	22	22	20	7
ostta04g02570	78	111	72	90	51	80
ostta04g02580	288	403	322	293	251	469
ostta04g02590	166	301	147	234	175	140
ostta04g02600	533	835	736	670	513	373
ostta04g02610	898	2008	987	1173	1011	748
ostta04g02620	67	87	52	91	73	35
ostta04g02630	171	265	124	215	139	24
ostta04g02640	25	53	20	45	35	46
ostta04g02650	349	772	323	430	376	153
ostta04g02660	75	212	79	124	131	62
ostta04g02670	9	13	32	0	3	2
ostta04g02680	11	15	13	11	7	4
ostta04g02690	35	91	31	19	21	95
ostta04g02700	52	111	57	81	57	48
ostta04g02710	359	602	431	649	513	481
ostta04g02720	294	667	382	552	453	482
ostta04g02730	0	0	1	0	1	1
ostta04g02740	709	1227	639	458	359	3627
ostta04g02750	80	166	113	113	103	58
ostta04g02760	47	100	44	75	75	3
ostta04g02770	248	620	198	165	66	11
ostta04g02780	177	379	179	203	111	298
ostta04g02790	1844	4901	1737	2070	2248	1857
ostta04g02800	42	61	59	61	86	29
ostta04g02810	192	393	226	268	186	80
ostta04g02820	150	322	98	121	87	179
ostta04g02830	1351	3640	1444	1712	1660	1437
ostta04g02840	217	425	240	73	93	95
ostta04g02850	554	1160	634	433	462	3407
ostta04g02860	537	2028	529	529	593	377
ostta04g02870	82	163	94	124	109	26
ostta04g02880	41	79	49	16	12	8
ostta04g02890	49	103	139	52	26	16
ostta04g02900	227	478	203	180	256	184
ostta04g02910	1657	2805	2287	2733	2857	2137
ostta04g02920	114	280	131	157	115	250
ostta04g02930	153	314	138	170	146	13
ostta04g02940	0	0	0	0	0	0
ostta04g02950	0	0	0	0	0	0
ostta04g02960	17	35	27	23	13	9
ostta04g02970	1966	3377	3009	2109	1974	1746
ostta04g02980	53	99	33	60	26	56
ostta04g02990	18	42	39	26	27	30
ostta04g03000	185	390	180	247	231	193
ostta04g03010	140	403	195	177	128	127
ostta04g03020	418	860	661	412	221	132
ostta04g03030	121	236	112	162	111	86
ostta04g03040	55	88	59	107	73	66
ostta04g03050	412	937	429	739	532	475
ostta04g03060	13	23	11	17	20	22
ostta04g03070	152	335	140	244	203	175
ostta04g03080	1353	2728	1698	1591	1522	2820
ostta04g03090	86	125	99	131	117	86
ostta04g03100	983	2619	841	862	1093	877
ostta04g03110	846	2127	778	1088	869	40
ostta04g03120	22	60	33	9	13	39
ostta04g03130	5	6	4	0	1	0
ostta04g03140	61	90	53	22	3	57
ostta04g03150	53	86	28	84	63	52
ostta04g03160	162	322	122	301	247	163
ostta04g03170	108	181	124	133	85	159
ostta04g03180	58	108	65	111	112	77
ostta04g03190	341	725	291	351	274	797
ostta04g03200	145	283	214	240	253	186
ostta04g03210	106	177	122	153	146	73
ostta04g03220	148	295	182	303	300	219
ostta04g03230	162	298	211	217	193	167
ostta04g03240	17	11	5	25	3	1
ostta04g03250	302	533	353	412	503	252
ostta04g03255	51	81	73	61	62	19
ostta04g03260	153	304	220	217	216	150
ostta04g03270	163	420	158	101	97	509
ostta04g03280	71	154	80	70	118	112
ostta04g03290	108	278	158	215	163	123
ostta04g03300	54	128	109	145	102	81
ostta04g03310	595	1344	794	1293	1029	759
ostta04g03320	15	40	35	16	3	6
ostta04g03330	39	80	68	7	8	162
ostta04g03340	186	375	102	161	100	102
ostta04g03350	18	27	20	27	15	2
ostta04g03360	21	45	35	26	34	4
ostta04g03370	30	41	21	48	35	24
ostta04g03380	2	2	0	0	0	0
ostta04g03390	1177	3007	1145	1826	1704	1227
ostta04g03400	588	1364	788	579	469	430
ostta04g03410	45	45	59	42	54	50
ostta04g03420	111	210	142	143	161	93
ostta04g03430	8	12	7	13	10	5
ostta04g03440	402	1257	468	602	661	463
ostta04g03450	233	377	293	319	265	116
ostta04g03455	121	344	154	281	253	133
ostta04g03460	974	2218	866	879	753	1268
ostta04g03470	653	1370	882	928	704	645
ostta04g03480	83	122	74	99	60	27
ostta04g03490	855	2016	966	525	549	388
ostta04g03500	576	1126	844	772	905	699
ostta04g03510	3177	5776	3731	3897	2768	3972
ostta04g03520	767	1201	1122	618	631	914
ostta04g03530	236	609	245	359	390	205
ostta04g03540	23	29	14	28	13	12
ostta04g03550	182	392	172	186	198	343
ostta04g03560	219	514	222	423	322	223
ostta04g03570	77	130	93	124	119	374
ostta04g03580	36	93	55	48	43	87
ostta04g03590	126	239	166	220	141	152
ostta04g03600	103	314	149	138	165	169
ostta04g03610	151	315	129	245	167	157
ostta04g03620	312	616	394	396	265	921
ostta04g03630	10	15	14	22	2	18
ostta04g03640	47	126	94	80	44	128
ostta04g03650	400	1070	448	852	700	729
ostta04g03660	127	289	192	158	135	38
ostta04g03670	175	322	195	299	239	330
ostta04g03680	77	140	108	93	99	99
ostta04g03690	1	0	1	0	0	0
ostta04g03700	26	45	27	40	49	28
ostta04g03710	149	405	171	107	118	90
ostta04g03720	298	531	342	448	392	311
ostta04g03730	185	357	191	408	252	238
ostta04g03740	339	947	368	507	286	192
ostta04g03750	133	224	83	139	220	140
ostta04g03760	429	727	393	670	572	303
ostta04g03770	16	38	34	22	49	10
ostta04g03780	68	136	83	162	88	41
ostta04g03790	25	35	34	32	23	25
ostta04g03800	585	1467	577	817	783	689
ostta04g03810	3450	5992	5245	3769	2884	2122
ostta04g03820	220	376	219	199	124	104
ostta04g03830	31	48	25	27	18	8
ostta04g03840	124	286	106	188	151	91
ostta04g03850	132	303	113	36	43	10
ostta04g03860	44	78	60	106	150	94
ostta04g03870	102	214	76	139	75	96
ostta04g03880	120	252	161	210	195	136
ostta04g03890	75	184	65	105	100	108
ostta04g03900	224	510	198	298	251	206
ostta04g03910	27	55	30	54	59	58
ostta04g03920	93	234	78	123	139	143
ostta04g03930	143	260	111	104	105	236
ostta04g03940	1512	3279	1758	2167	2239	2221
ostta04g03950	494	1181	454	682	709	844
ostta04g03960	405	1059	536	309	270	198
ostta04g03970	74	144	98	126	145	86
ostta04g03980	73	124	119	108	99	100
ostta04g03990	33	31	28	39	30	25
ostta04g04000	522	1556	402	796	774	423
ostta04g04010	359	739	280	327	215	46
ostta04g04020	503	934	697	841	678	552
ostta04g04030	28	41	40	56	47	28
ostta04g04040	2483	4991	3078	3179	2935	2345
ostta04g04050	408	989	365	269	191	27
ostta04g04060	9	19	13	16	3	3
ostta04g04065	105	193	115	224	191	73
ostta04g04070	81	159	129	162	163	71
ostta04g04080	569	1228	526	332	202	26
ostta04g04090	135	317	148	167	134	147
ostta04g04100	138	304	162	317	242	154
ostta04g04110	396	818	401	484	494	414
ostta04g04120	94	178	104	140	92	79
ostta04g04130	43	67	63	87	73	50
ostta04g04140	98	172	106	143	141	183
ostta04g04150	143	259	152	150	81	570
ostta04g04160	35	58	55	56	46	60
ostta04g04170	423	742	592	563	375	247
ostta04g04180	101	185	83	137	128	89
ostta04g04190	44	59	62	76	69	23
ostta04g04200	71	170	88	125	61	110
ostta04g04210	9	14	5	2	4	24
ostta04g04220	162	390	188	275	283	244
ostta04g04230	54	88	161	101	92	46
ostta04g04240	359	804	350	358	333	271
ostta04g04250	315	786	642	909	767	22
ostta04g04260	1553	4447	1612	1240	1335	1105
ostta04g04265	103	215	186	174	132	88
ostta04g04270	329	642	360	463	364	315
ostta04g04280	316	842	334	505	408	279
ostta04g04290	33	51	22	33	20	22
ostta04g04300	53	92	82	79	85	68
ostta04g04310	24	57	38	25	24	3
ostta04g04320	36	73	31	60	61	39
ostta04g04330	709	1681	664	948	765	660
